Hum,MaxHum,MinHum,Temp,MaxTemp,MinTemp,WindSpeed,Weather
85,,,25,34,23,3.704,60
95,,,77,93.2,73.4,9.26,3
75,,,20,30,19,3.704,61
60,,,68,86,66.2,27.78,63
80,,,28,32,19,9.26,61
95,,,82.4,89.6,66.2,3.704,61
80,,,23,31,21,9.26,60
60,,,73.4,87.8,69.8,27.78,60
90,,,19,30,20,9.26,60
95,,,66.2,86,68,9.26,60
75,,,20,30,20,9.26,3
60,,,68,86,68,27.78,60
80,,,30,31,21,9.26,60
95,,,86,87.8,69.8,9.26,3
75,,,23,,,3.704,63
65,,,73.4,,,27.78,61
80,,,22,,,9.26,61
95,,,71.6,,,3.704,61
80,,,22,,,9.26,3
60,,,71.6,,,18.52,60
90,,,30,,,9.26,60
95,,,86,,,9.26,3
80,,,22,,,9.26,3
60,,,71.6,,,18.52,60
85,,,21,,,3.704,61
95,,,69.8,,,9.26,3
80,,,20,,,3.704,63
75,,,68,,,27.78,63
85,,,28,,,9.26,63
95,,,82.4,,,3.704,60
80,,,24,,,9.26,60
65,,,75.2,,,18.52,61
90,,,19,,,9.26,60
95,,,66.2,,,9.26,3
80,,,20,,,9.26,3
65,,,68,,,18.52,61
85,,,29,,,3.704,60
95,,,84.2,,,3.704,3
80,,,23,,,3.704,60
75,,,73.4,,,27.78,61
85,,,18,,,9.26,63
95,,,64.4,,,3.704,61
80,,,25,,,9.26,3
70,,,77,,,18.52,60
90,,,29,,,9.26,60
95,,,84.2,,,9.26,3
75,,,25,,,9.26,3
65,,,77,,,27.78,95
85,,,24,,,9.26,61
95,,,75.2,,,9.26,3
90,,,26,,,3.704,60
75,,,78.8,,,27.78,61
85,,,33,,,9.26,63
95,,,91.4,,,3.704,60
85,,,27,,,9.26,3
65,,,80.6,,,18.52,61
90,,,20,,,9.26,61
95,,,68,,,9.26,3
75,,,26,,,3.704,1
65,,,78.8,,,9.26,61
85,,,33,,,9.26,60
95,,,91.4,,,3.704,3
80,,,26,,,3.704,60
75,,,78.8,,,27.78,63
85,,,26,,,9.26,63
95,,,78.8,,,3.704,60
80,,,26,,,9.26,3
60,,,78.8,,,0,60
90,,,34,,,9.26,60
95,,,93.2,,,9.26,3
75,,,28,,,9.26,1
60,,,82.4,,,27.78,60
85,,,25,,,9.26,60
95,,,77,,,9.26,3
80,,,21,,,3.704,60
70,,,69.8,,,27.78,61
85,,,29,,,9.26,61
95,,,84.2,,,3.704,61
80,,,24,,,9.26,60
60,,,75.2,,,18.52,61
90,,,20,,,9.26,60
95,,,68,,,9.26,3
75,,,22,,,9.26,4
60,,,71.6,,,18.52,60
80,,,29,,,3.704,60
95,,,84.2,,,3.704,3
80,,,23,,,3.704,61
70,,,73.4,,,27.78,63
85,,,18,,,9.26,61
95,,,64.4,,,3.704,61
80,,,21,,,9.26,3
60,,,69.8,,,18.52,61
90,,,29,,,9.26,3
95,,,84.2,,,9.26,3
75,,,20,,,9.26,3
60,,,68,,,18.52,61
85,,,19,,,9.26,60
95,,,66.2,,,3.704,3
75,,,24,,,3.704,61
65,,,75.2,,,27.78,61
80,,,30,,,9.26,61
95,,,86,,,3.704,61
80,,,22,,,9.26,3
65,,,71.6,,,18.52,60
90,,,20,,,9.26,60
95,,,68,,,9.26,3
80,,,25,,,3.704,3
65,,,77,,,18.52,60
85,,,31,,,9.26,60
95,,,87.8,,,9.26,3
80,,,24,,,3.704,3
70,,,75.2,,,27.78,61
85,,,22,,,9.26,63
95,,,71.6,,,3.704,61
80,,,24,,,9.26,3
60,,,75.2,,,18.52,61
90,,,32,,,9.26,60
95,,,89.6,,,9.26,3
75,,,26,,,9.26,1
60,,,78.8,,,18.52,60
85,,,24,,,9.26,60
95,,,75.2,,,9.26,3
90,,,22,,,3.704,60
75,,,71.6,,,27.78,63
85,,,30,,,9.26,63
95,,,86,,,3.704,60
85,,,25,,,9.26,3
60,,,77,,,18.52,61
90,,,20,,,9.26,61
95,,,68,,,9.26,3
75,,,22,,,9.26,3
60,,,71.6,,,9.26,61
85,,,30,,,9.26,60
95,,,86,,,9.26,3
75,,,23,,,3.704,61
65,,,73.4,,,27.78,63
80,,,19,,,9.26,61
95,,,66.2,,,3.704,61
80,,,23,,,9.26,3
60,,,73.4,,,18.52,60
90,,,29,,,9.26,60
95,,,84.2,,,9.26,3
80,,,24,,,9.26,3
60,,,75.2,,,18.52,60
85,,,22,,,9.26,60
95,,,71.6,,,9.26,3
80,,,20,,,3.704,60
75,,,68,,,27.78,63
85,,,30,,,9.26,63
95,,,86,,,3.704,61
80,,,22,,,9.26,3
65,,,71.6,,,18.52,61
90,,,19,,,9.26,3
